Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
bioderma-atoderm-nutritive-creme,Bioderma Atoderm Nutritive Crème Nourrissante 40ml,<p>Crème nourrissante peaux sèches à très sèches. Formule réparatrice. Restaure le film hydrolipidique pour protéger les peaux fragilisées.</p>,Bioderma,Crème nourrissante,"skincare,creme,nourrissante,peaux-seches,reparatrice,bioderma",TRUE,Titre,40ml,BIO-ANC-001,0,shopify,15,continue,manual,24,34,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Bioderma Atoderm Nutritive Crème,active
bioderma-sebium-kerato-gel,Bioderma Sébium Kerato+ Gel-Crème 30ml,<p>Gel-crème anti-imperfections. Acide salicylique 1.8%. Contrôle du sébum. La technologie Fluidactiv normalise les excès de sébum à la source pour une peau nette durablement.</p>,Bioderma,Gel-crème anti-imperfections,"skincare,gel,anti-imperfections,salicylique,sebum,bioderma,sebium",TRUE,Titre,30ml,BIO-SKG-001,0,shopify,12,continue,manual,22,32,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Bioderma Sebium Kerato Gel-Crème,active
bioderma-cicabio-spf50,Bioderma Cicabio Crème+ SPF50+ PA++++ 40ml,<p>Crème ultra-réparatrice avec SPF50+. Anti-cicatrices + anti-hyperpigmentation. Double action réparatrice et protectrice pour les peaux abîmées ou post-traitement.</p>,Bioderma,Crème ultra-réparatrice,"skincare,creme,reparatrice,spf50,anti-cicatrices,bioderma,cicabio",TRUE,Titre,40ml,BIO-CCS-001,0,shopify,12,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Bioderma Cicabio Crème SPF50,active
bioderma-cicabio-sans-spf,Bioderma Cicabio Crème+ 40ml,"<p>Crème réparatrice. Visage/corps/zones intimes. Cicatrices et marques. Formule polyvalente pour toutes les zones sensibles, y compris les zones post-chirurgicales.</p>",Bioderma,Crème ultra-réparatrice,"skincare,creme,reparatrice,cicatrices,bioderma,cicabio",TRUE,Titre,40ml,BIO-CCS-002,0,shopify,12,continue,manual,26,36,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Bioderma Cicabio Crème sans SPF,active
bioderma-sensibio-ar-cream,Bioderma Sensibio AR+ Cream 40ml,<p>Crème anti-rougeurs pour peaux sensibles réactives. Apaisement immédiat. Le complexe Regescine+ cible spécifiquement les mécanismes des rougeurs persistantes.</p>,Bioderma,Crème anti-rougeurs,"skincare,creme,anti-rougeurs,peaux-sensibles,apaisant,bioderma,sensibio",TRUE,Titre,40ml,BIO-SAR-001,0,shopify,12,continue,manual,26,36,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Bioderma Sensibio AR+ Cream,active
bioderma-pigmentbio-zones-sensibles,Bioderma Pigmentbio Sensitive Areas 75ml,"<p>Soin éclaircissant zones intimes. Dépigmentant doux et efficace. Formule spécialement conçue pour les zones sensibles, avec une tolérance maximale.</p>",Bioderma,Soin éclaircissant ciblé,"skincare,eclaircissant,zones-intimes,depigmentant,bioderma,pigmentbio",TRUE,Titre,75ml,BIO-PSA-001,0,shopify,10,continue,manual,32,44,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Bioderma Pigmentbio Sensitive Areas,active
bioderma-pigmentbio-foaming-cream,Bioderma Pigmentbio Foaming Cream 200ml,<p>Nettoyant éclaircissant moussant. Exfolie + unifie + illumine. Tous les types de peaux. Triple action en un seul geste pour un teint unifié et lumineux.</p>,Bioderma,Nettoyant éclaircissant,"skincare,nettoyant,eclaircissant,moussant,bioderma,pigmentbio",TRUE,Titre,200ml,BIO-PFC-001,0,shopify,12,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Bioderma Pigmentbio Foaming Cream,active
aroma-zone-serum-collagene,Aroma-Zone Sérum Collagène Vegan 1.5%,<p>Sérum collagène vegan 1.5%. Made in France. Élasticité + rides + fermeté. Formule 100% vegan et cruelty-free pour une beauté éthique et efficace.</p>,Aroma-Zone,Sérum concentré,"skincare,serum,collagene,vegan,made-in-france,aroma-zone",TRUE,Titre,Taille unique,ARZ-SCV-001,0,shopify,15,continue,manual,24,34,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Aroma-Zone Sérum Collagène Vegan,active
jaysuing-snow-bleach,Jaysuing Snow Bleach 30ml,<p>Soin éclaircissant intensif visage et corps. Effet rapid blancheur. Formule concentrée pour une efficacité maximale sur les taches et les zones sombres.</p>,Jaysuing,Soin éclaircissant intensif,"skincare,eclaircissant,blancheur,taches,jaysuing",TRUE,Titre,30ml,JAY-SNB-001,0,shopify,15,continue,manual,22,30,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Jaysuing Snow Bleach 30ml,active
aroma-zone-serum-hyaluronique,Aroma-Zone Sérum Acide Hyaluronique 3.5%,<p>Sérum acide hyaluronique 3.5%. Made in France. Hydratation anti-âge maximale. La concentration de 3.5% en AH offre une hydratation en profondeur pour toutes les couches de la peau.</p>,Aroma-Zone,Sérum concentré,"skincare,serum,acide-hyaluronique,hydratant,made-in-france,anti-age,aroma-zone",TRUE,Titre,Taille unique,ARZ-SAH-001,0,shopify,15,continue,manual,26,36,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Aroma-Zone Sérum Acide Hyaluronique,active
etiaxil-deodorant-men,Etiaxil Déodorant Men Anti-Transpirant 48h,"<p>Déodorant aérosol sans alcool peaux sensibles. Efficacité 48h garantie. Formule douce testée dermatologiquement, sans alcool, pour une protection longue durée confortable.</p>",Etiaxil,Déodorant,"soins-complementaires,deodorant,homme,anti-transpirant,48h,etiaxil",TRUE,Titre,Taille unique,ETI-DMN-001,0,shopify,20,continue,manual,18,26,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Etiaxil Déodorant Men Anti-Transpirant,active
la-roche-posay-mela-b3-gel-peeling,La Roche-Posay Mela B3 Gel Micro-Peeling Anti-Taches 200ml,<p>Gel micro-peeling anti-taches. Melasyl + niacinamide/vitamine B3 + PHA. La molécule exclusive Melasyl agit sur toutes les formes de taches pour un teint homogène.</p>,La Roche-Posay,Gel micro-peeling,"skincare,gel,peeling,anti-taches,niacinamide,la-roche-posay,melasyl",TRUE,Titre,200ml,LRP-MBG-001,0,shopify,12,continue,manual,32,44,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,La Roche-Posay Mela B3 Gel Micro-Peeling,active
la-roche-posay-vitamin-c-cleanser,La Roche-Posay Vitamin C Cleanser Moussant 200ml,"<p>Nettoyant moussant vitaminé. Antioxydant et purifiant. Éclat et fraîcheur. Enrichi en vitamine C pure, ce nettoyant protège la peau du stress oxydatif dès le matin.</p>",La Roche-Posay,Nettoyant moussant,"skincare,nettoyant,vitamine-c,moussant,antioxydant,la-roche-posay",TRUE,Titre,200ml,LRP-VCC-001,0,shopify,12,continue,manual,26,36,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,La Roche-Posay Vitamin C Cleanser,active
la-roche-posay-hydraphase-riche,La Roche-Posay Hydraphase Riche Cream 40ml,<p>Crème riche hydratante. Intensité maximale pour peaux très sèches. L'eau thermale de la Roche-Posay apaise et renforce la barrière cutanée pour une hydratation durable.</p>,La Roche-Posay,Crème riche,"skincare,creme,hydratante,peaux-seches,riche,la-roche-posay",TRUE,Titre,40ml,LRP-HRC-001,0,shopify,12,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,La Roche-Posay Hydraphase Riche Cream,active
la-roche-posay-cicalfate-cream,La Roche-Posay Cicalfate+ Cream 100ml,"<p>Crème réparatrice protectrice. Cicatrices + irritations. Efficacité prouvée. Recommandée après les actes dermatologiques, cette crème accélère la cicatrisation naturelle.</p>",La Roche-Posay,Crème réparatrice,"skincare,creme,reparatrice,cicatrices,la-roche-posay,cicalfate",TRUE,Titre,100ml,LRP-CCA-001,0,shopify,12,continue,manual,30,42,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,La Roche-Posay Cicalfate+ Cream,active
la-roche-posay-effaclar-mat,La Roche-Posay Effaclar Mat+ Hydratant 40ml,<p>Crème matifiante hydratante. Peaux grasses. Sebo-régulation et confort. Matifie les brillances pendant 8h tout en maintenant l'hydratation pour des peaux fraîches et nettes.</p>,La Roche-Posay,Crème matifiante,"skincare,creme,matifiante,peaux-grasses,sebum,la-roche-posay,effaclar",TRUE,Titre,40ml,LRP-EFM-001,0,shopify,12,continue,manual,26,36,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,La Roche-Posay Effaclar Mat+ Hydratant,active
la-roche-posay-mela-b3-spf30,La Roche-Posay Mela B3 SPF30 Anti-Dark Spots Corrective Care 40ml,<p>Crème solaire correctrice taches. SPF30 + Melasyl. Protection + correction. Double action pour corriger les taches existantes et prévenir les nouvelles sous l'effet du soleil.</p>,La Roche-Posay,Crème solaire correctrice,"skincare,solaire,spf30,anti-taches,la-roche-posay,melasyl",TRUE,Titre,40ml,LRP-MBS-001,0,shopify,12,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,La Roche-Posay Mela B3 SPF30,active
la-roche-posay-anthelios-hydratante,La Roche-Posay Anthelios UVMune 400 Crème Hydratante 50ml,"<p>Crème solaire UVMune hydratante. SPF50+. Protection ultra-large spectre. La technologie Mexoryl 400 protège contre les UVA longs, responsables du vieillissement prématuré.</p>",La Roche-Posay,Crème solaire hydratante,"skincare,solaire,spf50,hydratant,la-roche-posay,anthelios,uvmune",TRUE,Titre,50ml,LRP-AUH-001,0,shopify,12,continue,manual,32,44,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,La Roche-Posay Anthelios UVMune Hydratante,active
la-roche-posay-anthelios-oil-control,La Roche-Posay Anthelios UVMune 400 Crème Gel-Oil Control 50ml,<p>Crème solaire oil-control. SPF50+. Peaux grasses à mixtes. Formule gel légère et invisible qui matifie instantanément tout en offrant une protection solaire maximale.</p>,La Roche-Posay,Crème solaire oil-control,"skincare,solaire,spf50,oil-control,peaux-grasses,la-roche-posay,anthelios",TRUE,Titre,50ml,LRP-AUO-001,0,shopify,12,continue,manual,32,44,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,La Roche-Posay Anthelios Oil Control,active
la-roche-posay-pure-vitamin-c-serum,La Roche-Posay Pure Vitamin C12 Serum 30ml,<p>Sérum vitamine C pure 12%. Anti-rides + anti-oxydant + antitache. La vitamine C pure en concentration 12% est la forme la plus efficace pour un éclat instantané et durable.</p>,La Roche-Posay,Sérum vitaminé,"skincare,serum,vitamine-c,anti-rides,antioxydant,anti-taches,la-roche-posay",TRUE,Titre,30ml,LRP-PVC-001,0,shopify,10,continue,manual,36,50,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,La Roche-Posay Pure Vitamin C12 Serum,active
vichy-capital-soleil-onctueuse-50ml,Vichy Capital Soleil SPF50+ Crème Onctueuse Protectrice 50ml,<p>Crème solaire onctueuse. SPF50+. Texture luxe et protection maximale. La texture onctueuse signature Vichy fond sur la peau pour un fini parfait et une protection totale.</p>,Vichy,Crème solaire richement protectrice,"skincare,solaire,spf50,onctueuse,vichy,capital-soleil",TRUE,Titre,50ml,VIC-CSO-001,0,shopify,12,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Vichy Capital Soleil SPF50 Onctueuse,active
vichy-capital-soleil-teintee,Vichy Capital Soleil SPF50+ Crème Teintée 40ml,<p>Crème solaire teintée. SPF50+. Unifiance et protection. La teinte universelle s'adapte à tous les carnats pour un teint naturellement unifié sous le soleil.</p>,Vichy,Crème solaire teintée,"skincare,solaire,spf50,teinté,vichy,capital-soleil",TRUE,Titre,40ml,VIC-CST-001,0,shopify,12,continue,manual,26,36,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Vichy Capital Soleil SPF50 Teintée,active
vichy-capital-soleil-3en1-50ml,Vichy Capital Soleil SPF50+ Crème Unctueuse Anti-Taches 3-en-1 50ml,"<p>Crème solaire 3-en-1. SPF50+. Protection + unifiance + anti-taches. Triple bénéfice pour simplifier sa routine : un seul produit remplace crème solaire, soin unifiant et correcteur de taches.</p>",Vichy,Crème solaire multi-action,"skincare,solaire,spf50,anti-taches,3-en-1,vichy",TRUE,Titre,50ml,VIC-CS3-001,0,shopify,12,continue,manual,30,42,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Vichy Capital Soleil SPF50 3-en-1,active
vichy-capital-soleil-anti-dark-spot,Vichy Capital Soleil SPF50+ Anti-Dark Spot 3-en-1 Soin Protecteur 50ml,<p>Crème solaire anti-taches. SPF50+. Prévention + correction des taches. La combinaison de filtres UVA/UVB + actifs éclaircissants offre une protection anti-taches complète.</p>,Vichy,Crème solaire anti-taches,"skincare,solaire,spf50,anti-taches,vichy,capital-soleil",TRUE,Titre,50ml,VIC-ADS-001,0,shopify,12,continue,manual,30,42,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Vichy Capital Soleil Anti Dark Spot,active
vichy-capital-soleil-toucher-sec,Vichy Capital Soleil SPF50+ Emulsion Protectrice Toucher Sec 50ml,"<p>Crème solaire émulsion. SPF50+. Toucher sec et léger pour tous les types. La formule innovante laisse un fini sec ultra-confortable, idéale sous le maquillage.</p>",Vichy,Crème solaire toucher sec,"skincare,solaire,spf50,toucher-sec,emulsion,vichy",TRUE,Titre,50ml,VIC-CTS-001,0,shopify,12,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Vichy Capital Soleil SPF50 Toucher Sec,active
vichy-liftactiv-serum-ha,Vichy Liftactiv Supreme H.A. Epidermic Filler Sérum 30ml,<p>Sérum acide hyaluronique remplissant. Rides comblées. Effet lifting. Le complexe H.A. Epidermic Filler agit comme un remplisseur naturel des rides pour un visage lissé.</p>,Vichy,Sérum remplissant,"skincare,serum,acide-hyaluronique,anti-rides,lifting,vichy,liftactiv",TRUE,Titre,30ml,VIC-LAH-001,0,shopify,10,continue,manual,40,54,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Vichy Liftactiv Supreme H.A. Filler Serum,active
the-ordinary-glycolic-toner,The Ordinary Glycolic Acid 7% Exfoliating Toner 240ml,"<p>Tonique exfoliant AHA glycolique 7%. Quotidien. Texture légère hydratante. Le best-seller mondial de l'exfoliation chimique accessible. Éclat, texture et uniformité dès 4 semaines.</p>",The Ordinary,Tonique exfoliant,"soins-complementaires,tonique,aha,glycolique,exfoliant,the-ordinary",TRUE,Titre,240ml,ORD-GAT-001,0,shopify,20,continue,manual,12,18,TRUE,FALSE,https://images.unsplash.com/photo-9PnU-U7V6YE?w=600&q=80&auto=format&fit=crop,The Ordinary Glycolic Acid Toner,active
the-ordinary-lip-lash-set,The Ordinary Lip & Lash Set,"<p>Ensemble multiusage pour lèvres et cils. Hydratation + nutrition. Le duo iconique The Ordinary pour des lèvres pulpeuses et des cils nourris, au prix le plus juste.</p>",The Ordinary,Ensemble lèvres & cils,"soins-complementaires,levres,cils,hydratant,the-ordinary,set",TRUE,Titre,Taille unique,ORD-LLS-001,0,shopify,20,continue,manual,24,34,TRUE,FALSE,https://images.unsplash.com/photo-tvLvkRMNl70?w=600&q=80&auto=format&fit=crop,The Ordinary Lip and Lash Set,active
the-ordinary-niacinamide-zinc-serum,The Ordinary Niacinamide 10% + Zinc 1% Serum 30ml,"<p>Sérum niacinamide 10% + zinc. Régulation sébum et pores. Clarté immédiate. Le sérum le plus vendu au monde pour les peaux grasses. Simple, efficace, au meilleur prix.</p>",The Ordinary,Sérum niacinamide,"soins-complementaires,serum,niacinamide,zinc,pores,sebum,the-ordinary",TRUE,Titre,30ml,ORD-NZS-001,0,shopify,20,continue,manual,8,14,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,The Ordinary Niacinamide Zinc Serum,active
the-ordinary-caffeine-serum,The Ordinary Caffeine Solution 5% + EGCG 30ml,<p>Sérum caféine 5% + EGCG. Cernes et poches réduits. Contour yeux. La caféine associée au puissant antioxydant EGCG décongestionnne et tonifie le contour des yeux.</p>,The Ordinary,Sérum caféine,"soins-complementaires,serum,cafeine,cernes,yeux,the-ordinary",TRUE,Titre,30ml,ORD-CAF-001,0,shopify,20,continue,manual,10,16,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,The Ordinary Caffeine Solution EGCG,active
the-ordinary-vitamin-c-suspension,The Ordinary Vitamin C Suspension 30% in Silicone 30ml,<p>Sérum vitamine C 30% en suspension. Anti-oxydant puissant. Efficacité maximale. La concentration de 30% est la plus haute disponible pour des résultats éclatants visibles.</p>,The Ordinary,Sérum vitamine C,"soins-complementaires,serum,vitamine-c,antioxydant,the-ordinary",TRUE,Titre,30ml,ORD-VCS-001,0,shopify,20,continue,manual,12,18,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,The Ordinary Vitamin C Suspension 30%,active
the-ordinary-body-lotion,The Ordinary Natural Moisturizing Factors + HA Body Lotion 240ml,<p>Lotion corps hydratante. Facteurs naturels + acide hyaluronique. Hydratation douce. La formule NMF reproduit les facteurs naturels hydratants de la peau pour une hydratation mimétique.</p>,The Ordinary,Lotion corps,"soins-complementaires,corps,lotion,hydratant,acide-hyaluronique,the-ordinary",TRUE,Titre,240ml,ORD-NMF-001,0,shopify,15,continue,manual,8,14,TRUE,FALSE,https://images.unsplash.com/photo-RLxWVl7dCg8?w=600&q=80&auto=format&fit=crop,The Ordinary Body Lotion NMF,active
mavala-double-lash-serum,Mavala Double-Lash Serum Lash Length & Volume Care 10ml,<p>Sérum cils repulpant. Longueur + épaisseur. Résultats visibles en 4 semaines. Le sérum cils de référence suisse. Actifs nourissants qui stimulent la pousse pour des cils dramatiques.</p>,Mavala,Sérum cils,"soins-complementaires,cils,serum,volume,longueur,mavala",TRUE,Titre,10ml,MAV-DLS-001,0,shopify,20,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Mavala Double-Lash Serum,active
